ano,producao,ndvi_mean,ndvi_max,ndvi_min,ndvi_std,ndvi_mar_mai
2003,4200,0.3761652173913043,0.736,0.1931,0.17903223581928088,0.4018
2004,810,0.3960173913043478,0.869,0.202,0.20453421063518468,0.5349
2005,1500,0.45096086956521736,0.9112,0.1911,0.2442326214886322,0.41285
2006,2280,0.4383782608695653,0.8943,0.1972,0.23538741751442602,0.43323333333333336
2007,2400,0.5407739130434782,0.8773,0.2836,0.20786825420616625,0.7126
2008,44880,0.4286913043478261,0.9346,0.1645,0.23951843336359013,0.45011666666666666
2009,630,0.4887956521739131,0.9299,0.2259,0.22682801550205567,0.4874833333333333
2010,36000,0.4486913043478261,0.9542,0.1821,0.2634684661363127,0.4220333333333333
2011,121964,0.406695652173913,0.9135,0.1651,0.2509952163221459,0.35506666666666664
2012,284272,0.536608695652174,0.9192,0.2926,0.23158360342540246,0.5297333333333333
2013,522577,0.5579,0.9128,0.2624,0.22951584021389657,0.6086999999999999
2014,490175,0.5099347826086956,0.9178,0.1892,0.23634228184927752,0.7322166666666666
2015,693000,0.5552217391304347,0.9388,0.2325,0.24721027846482457,0.7184166666666667
2016,180463,0.5165130434782609,0.9388,0.197,0.23360823324599714,0.58275
2017,823875,0.5466130434782608,0.9367,0.2183,0.27597967366579707,0.79885
2018,607842,0.5745869565217392,0.9477,0.2563,0.2732547584287464,0.7021666666666667
2019,619200,0.5372695652173913,0.9481,0.2622,0.26779346593084924,0.6880833333333333
2020,1320000,0.5390652173913043,0.9312,0.1538,0.2691502125523888,0.7695
2021,1368000,0.5429086956521739,0.9038,0.2643,0.26761071101176304,0.7831666666666667
2022,765000,0.49567826086956523,0.9047,0.2273,0.26089547707937427,0.6688166666666667
2023,1730400,0.5729217391304348,0.9384,0.2158,0.2768173125112099,0.7633833333333334
