data,ndvi
18/02/2000,0.799
05/03/2000,0.8667
21/03/2000,0.8307
06/04/2000,0.8552
22/04/2000,0.8308
08/05/2000,0.8214
24/05/2000,0.7308
09/06/2000,0.7899
25/06/2000,0.7626
11/07/2000,0.7337
27/07/2000,0.7281
12/08/2000,0.7255
28/08/2000,0.5002
13/09/2000,0.8059
29/09/2000,0.7479
15/10/2000,0.6926
31/10/2000,0.7386
16/11/2000,0.6968
02/12/2000,0.4256
18/12/2000,0.8645
01/01/2001,0.8547
17/01/2001,0.8761
02/02/2001,0.7368
18/02/2001,0.844
06/03/2001,0.8021
22/03/2001,0.8329
07/04/2001,0.743
23/04/2001,0.8446
09/05/2001,0.6392
25/05/2001,0.8263
10/06/2001,0.7777
26/06/2001,0.7151
12/07/2001,0.7861
28/07/2001,0.5546
13/08/2001,0.5721
29/08/2001,0.7593
14/09/2001,0.7968
30/09/2001,0.4649
16/10/2001,0.7005
01/11/2001,0.782
17/11/2001,0.4193
03/12/2001,0.7217
19/12/2001,0.569
01/01/2002,0.5103
17/01/2002,0.849
02/02/2002,0.6132
18/02/2002,0.6136
06/03/2002,0.5997
22/03/2002,0.5287
07/04/2002,0.4061
23/04/2002,0.478
09/05/2002,0.4483
25/05/2002,0.4395
10/06/2002,0.4532
26/06/2002,0.1537
12/07/2002,0.2137
28/07/2002,0.1817
13/08/2002,0.223
29/08/2002,0.2075
14/09/2002,0.221
30/09/2002,0.2912
16/10/2002,0.3197
01/11/2002,0.3575
17/11/2002,0.2702
03/12/2002,0.2685
19/12/2002,0.3868
01/01/2003,0.4644
17/01/2003,0.4107
02/02/2003,0.6101
18/02/2003,0.5039
06/03/2003,0.6432
22/03/2003,0.5899
07/04/2003,0.3966
23/04/2003,0.2904
09/05/2003,0.2379
25/05/2003,0.2528
10/06/2003,0.2428
26/06/2003,0.2457
12/07/2003,0.1931
28/07/2003,0.2322
13/08/2003,0.2075
29/08/2003,0.2162
14/09/2003,0.2446
30/09/2003,0.2591
16/10/2003,0.2514
01/11/2003,0.1942
17/11/2003,0.6225
03/12/2003,0.6066
19/12/2003,0.736
01/01/2004,0.749
17/01/2004,0.2032
02/02/2004,0.6876
18/02/2004,0.2177
05/03/2004,0.869
21/03/2004,0.346
06/04/2004,0.6365
22/04/2004,0.555
08/05/2004,0.4573
24/05/2004,0.3456
09/06/2004,0.3393
25/06/2004,0.2683
11/07/2004,0.2753
27/07/2004,0.2127
12/08/2004,0.2554
28/08/2004,0.2295
13/09/2004,0.249
29/09/2004,0.202
15/10/2004,0.2723
31/10/2004,0.7409
16/11/2004,0.3611
02/12/2004,0.2732
18/12/2004,0.3625
01/01/2005,0.7367
17/01/2005,0.9112
02/02/2005,0.7811
18/02/2005,0.8585
06/03/2005,0.7985
22/03/2005,0.5144
